https.Agent
https.Server
https.createServer
https.get
https.request
http._connectionListener
http.Agent
http.ClientRequest
http.IncomingMessage
http.OutgoingMessage
http.Server
http.ServerResponse
http.createServer
http.validateHeaderName
http.validateHeaderValue
http.get
http.request
http.setMaxIdleHTTPParsers
net._createServerHandle
net._normalizeArgs
net._setSimultaneousAccepts
net.BlockList
net.SocketAddress
net.connect
net.createConnection
net.createServer
net.isIP
net.isIPv4
net.isIPv6
net.Server
net.Socket
net.Stream
net.getDefaultAutoSelectFamily
net.setDefaultAutoSelectFamily
net.getDefaultAutoSelectFamilyAttemptTimeout
net.setDefaultAutoSelectFamilyAttemptTimeout
tls.getCiphers
tls.convertALPNProtocols
tls.checkServerIdentity
tls.createSecureContext
tls.SecureContext
tls.TLSSocket
tls.Server
tls.createServer
tls.connect
tls.createSecurePair
url.Url
url.parse
url.resolve
url.resolveObject
url.format
url.URL
url.URLSearchParams
url.domainToASCII
url.domainToUnicode
url.pathToFileURL
url.fileURLToPath
url.urlToHttpOptions
stream.isDestroyed
stream.isDisturbed
stream.isErrored
stream.isReadable
stream.isWritable
stream.Readable
stream.Writable
stream.Duplex
stream.Transform
stream.PassThrough
stream.pipeline
stream.addAbortSignal
stream.finished
stream.destroy
stream.compose
stream.setDefaultHighWaterMark
stream.getDefaultHighWaterMark
stream.Stream
stream._isUint8Array
stream._uint8ArrayToBuffer
dns.lookup
dns.lookupService
dns.Resolver
dns.getDefaultResultOrder
dns.setDefaultResultOrder
dns.setServers
dns.getServers
dns.resolve
dns.resolve4
dns.resolve6
dns.resolveAny
dns.resolveCaa
dns.resolveCname
dns.resolveMx
dns.resolveNaptr
dns.resolveNs
dns.resolvePtr
dns.resolveSoa
dns.resolveSrv
dns.resolveTxt
dns.reverse
querystring.unescapeBuffer
querystring.unescape
querystring.escape
querystring.stringify
querystring.encode
querystring.parse
querystring.decode
zlib.Deflate
zlib.Inflate
zlib.Gzip
zlib.Gunzip
zlib.DeflateRaw
zlib.InflateRaw
zlib.Unzip
zlib.BrotliCompress
zlib.BrotliDecompress
zlib.deflate
zlib.deflateSync
zlib.gzip
zlib.gzipSync
zlib.deflateRaw
zlib.deflateRawSync
zlib.unzip
zlib.unzipSync
zlib.inflate
zlib.inflateSync
zlib.gunzip
zlib.gunzipSync
zlib.inflateRaw
zlib.inflateRawSync
zlib.brotliCompress
zlib.brotliCompressSync
zlib.brotliDecompress
zlib.brotliDecompressSync
zlib.createDeflate
zlib.createInflate
zlib.createDeflateRaw
zlib.createInflateRaw
zlib.createGzip
zlib.createGunzip
zlib.createUnzip
zlib.createBrotliCompress
zlib.createBrotliDecompress
crypto.checkPrime
crypto.checkPrimeSync
crypto.createCipheriv
crypto.createDecipheriv
crypto.createDiffieHellman
crypto.createDiffieHellmanGroup
crypto.createECDH
crypto.createHash
crypto.createHmac
crypto.createPrivateKey
crypto.createPublicKey
crypto.createSecretKey
crypto.createSign
crypto.createVerify
crypto.diffieHellman
crypto.generatePrime
crypto.generatePrimeSync
crypto.getCiphers
crypto.getCipherInfo
crypto.getCurves
crypto.getDiffieHellman
crypto.getHashes
crypto.hkdf
crypto.hkdfSync
crypto.pbkdf2
crypto.pbkdf2Sync
crypto.generateKeyPair
crypto.generateKeyPairSync
crypto.generateKey
crypto.generateKeySync
crypto.privateDecrypt
crypto.privateEncrypt
crypto.publicDecrypt
crypto.publicEncrypt
crypto.randomBytes
crypto.randomFill
crypto.randomFillSync
crypto.randomInt
crypto.randomUUID
crypto.scrypt
crypto.scryptSync
crypto.sign
crypto.setEngine
crypto.timingSafeEqual
crypto.getFips
crypto.setFips
crypto.verify
crypto.Certificate
crypto.Cipher
crypto.Cipheriv
crypto.Decipher
crypto.Decipheriv
crypto.DiffieHellman
crypto.DiffieHellmanGroup
crypto.ECDH
crypto.Hash
crypto.Hmac
crypto.KeyObject
crypto.Sign
crypto.Verify
crypto.X509Certificate
crypto.secureHeapUsed
crypto.createCipher
crypto.createDecipher
crypto.getRandomValues
crypto.prng
crypto.pseudoRandomBytes
crypto.rng
buffer.Buffer
buffer.SlowBuffer
buffer.transcode
buffer.isUtf8
buffer.isAscii
buffer.btoa
buffer.atob
buffer.Blob
buffer.resolveObjectURL
buffer.File
child_process._forkChild
child_process.ChildProcess
child_process.exec
child_process.execFile
child_process.execFileSync
child_process.execSync
child_process.fork
child_process.spawn
child_process.spawnSync
process._rawDebug
process.binding
process._linkedBinding
process.dlopen
process.uptime
process._getActiveRequests
process._getActiveHandles
process.getActiveResourcesInfo
process.reallyExit
process._kill
process.cpuUsage
process.resourceUsage
process.memoryUsage
process.constrainedMemory
process.kill
process.exit
process.hrtime
process.openStdin
process.getuid
process.geteuid
process.getgid
process.getegid
process.getgroups
process.assert
process._fatalException
process.setUncaughtExceptionCaptureCallback
process.hasUncaughtExceptionCaptureCallback
process.emitWarning
process.nextTick
process._tickCallback
process.setSourceMapsEnabled
process._debugProcess
process._debugEnd
process._startProfilerIdleNotifier
process._stopProfilerIdleNotifier
process.abort
process.umask
process.chdir
process.cwd
process.initgroups
process.setgroups
process.setegid
process.seteuid
process.setgid
process.setuid
fs.appendFile
fs.appendFileSync
fs.access
fs.accessSync
fs.chown
fs.chownSync
fs.chmod
fs.chmodSync
fs.close
fs.closeSync
fs.copyFile
fs.copyFileSync
fs.cp
fs.cpSync
fs.createReadStream
fs.createWriteStream
fs.exists
fs.existsSync
fs.fchown
fs.fchownSync
fs.fchmod
fs.fchmodSync
fs.fdatasync
fs.fdatasyncSync
fs.fstat
fs.fstatSync
fs.fsync
fs.fsyncSync
fs.ftruncate
fs.ftruncateSync
fs.futimes
fs.futimesSync
fs.lchown
fs.lchownSync
fs.link
fs.linkSync
fs.lstat
fs.lstatSync
fs.lutimes
fs.lutimesSync
fs.mkdir
fs.mkdirSync
fs.mkdtemp
fs.mkdtempSync
fs.open
fs.openSync
fs.openAsBlob
